Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Description,HasTraverse,HasSloper,Hascrimp,Hassloper,Hastraverse,Hasarete,Hasjug,Hasundercling,Hascave,Hasroof,Haspinch,Hasmantle
Foot Fetish,Hoi Polloi Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106059776/foot-fetish,2.5,-1,Boulder,V2,1,20,33.98601,-116.15936,"[<div class=""fr-view"">Grab some head high jugs, pull up and over the small roof and gain a stance below the smooth chocolate slab. Make a few easy slab moves to gain a good edge and then enjoy the moves to the top.  <br/> <br/> <ul><li> This is a fairly tall problem but the positive nature of the moves make it easier to commit.</li></ul></div>, <div class=""fr-view"">Located on the left side of the north face, 10' left of <a href=""https://www.mountainproject.com/route/106096417/prince-fari"">Prince Fari</a> and below a smooth black slab.</div>, <div class=""fr-view"">Pad, attentive spotter(s)</div>]",0,0,0,0,0,0,1,0,0,1,0,0
Brunette Torpedo,Chocolate Boulder 3 > Chocolate Boulders > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/109989567/brunette-torpedo,2.7,-1,Boulder,V3+,1,12,34.06269,-116.22639,"[<div class=""fr-view"">Sit start with hands either side of the arete.   Pull on and make a couple of big moves up the arete, before leaning a long way over to the left and the good holds on Torpedo. <br/> <br/> Finish as for Torpedo.</div>, <div class=""fr-view"">north west arete</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Slapslope,Meadows Boulder > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106329138/slapslope,2.3,-1,Boulder,V4,1,10,33.99418,-116.14301,"[<div class=""fr-view"">Start sitting at a curving rail and head directly into the crux which is possible via two ways - either crimp a narrow slot before firing up for a horizontal, or go big and launch directly for it, and then top out with an easy mantel.</div>, <div class=""fr-view"">Left side of the west face.</div>, <div class=""fr-view"">Pad</div>]",0,0,1,0,0,0,0,0,0,0,0,0
False Ayatollah,Ayatollah Boulder > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106047143/false-ayatollah,2.7,-1,Boulder,V0 R,1,20,33.98814,-116.16099,"[<div class=""fr-view"">Located on the west face of the boulder, just left of center and identifiable as face leading into a shallow right-facing corner; there is a large rock and a bush near the base of the problem as well. <br/> <br/> The crux moves on this are low as you work off a sharp crimp onto a small edge for your foot, but a bit higher, at the start of the corner, is the mental crux as you must commit to a high foothold to reach the temptingly close jugs in the corner. Easy moves lead up the corner to the top and there's an easy descent to the right. <br/> <br/> Fun moves on good rock but you really don't want to fall off this once you're past the crux.  <br/> <br/> Named for it's slight resemblance to <a href=""https://www.mountainproject.com/route/105723514/the-ayatollah"">The Ayatollah</a> (5.11b/c) at nearby Cap Rock.</div>, <div class=""fr-view"">pads, spotters</div>]",0,0,1,0,0,0,1,0,0,0,0,0
Orange Julius,Orange Julius Boulder > HVCG East > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106527801/orange-julius,2.8,-1,Boulder,V7,1,18,34.01864,-116.16128,"[<div class=""fr-view"">Start in overhanging huecoish terrain to gain small crimps at the bottom of the dike. Pull a straightforward but powerful, reachy sequence on tweaky edges with little to no feet. Once your feet are established on the dike, the difficulty eases.  <br/> <br/> Favors tall climbers. At 5'9"" I was campusing between edges through the crux.</div>, <div class=""fr-view"">The completely obvious orange dike.</div>, <div class=""fr-view"">Pad/spotter.</div>]",0,0,1,0,0,0,0,0,0,0,0,0
Boulder Crack,Boulder Crack Rock > Planet X Area > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106666829/boulder-crack,2.8,-1,Boulder,V2,1,13,33.99625,-116.15613,"[<div class=""fr-view""><p>SDS and make surprisingly difficult moves up the overhanging thin to hand crack to a lip where the angle kicks back and the hard climbing is over.Â </p><ul><li>The problem can also be done from a standing start at about V1.</li></ul></div>, <div class=""fr-view"">Right side of the northeast face.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Riff Raff,Facet Boulder > Ryan Campground Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106121868/riff-raff,1.7,-1,Boulder,V0,1,12,33.98414,-116.1525,"[<div class=""fr-view"">This climbs the double aretes on the south end of the boulder, to a mantle.</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,1,0,0,0,0,0,1
Border Patrol (Yabo),Texas Boulder > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108854255/border-patrol-yabo,2.8,-1,Boulder,V6,1,10,34.0181,-116.1698,"[<div class=""fr-view"">Yabo (sit) start on low crimps with high heel, make a long lock off to the starting horizontal crack of <a href=""https://www.mountainproject.com/route/106136532/border-patrol"">Border Patrol</a> (V1).</div>, <div class=""fr-view"">Far right corner of the Texas Boulder.</div>, <div class=""fr-view"">Pads</div>]",0,0,1,0,0,0,0,0,0,0,0,0
Chocolate Roof Center,Chocolate Roof > Chocolate Boulders > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/109989634/chocolate-roof-center,3,-1,Boulder,V5,1,12,34.06282,-116.22616,"[<div class=""fr-view"">Start on the left side below the roof.    Traverse rightwards, until possible to reach up to the lip.   Reach above the roof for a good, but small crimp, and from there jump to the good holds on the arete above. <br/> <br/> Finish up the short arete.</div>, <div class=""fr-view"">Climbs the roof just right of center</div>, <div class=""fr-view"">Pads and spotter</div>]",1,0,1,0,1,1,0,0,0,1,0,0
True Grit,JBMF Boulder > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105725452/true-grit,2.6,-1,Boulder,V3,1,16,34.0152,-116.16631,"[<div class=""fr-view""><p>Start with one hand on the arÃªte and another on a small edge and then bump up to a good sloper, g<span style=""font-size: 1rem; -webkit-text-size-adjust: 100%;"">et into balance and then rail out the arÃªte all the way to the top of the boulder.</span></p></div>, <div class=""fr-view""><p>Left of the JBMFP is this striking right-slanting arÃªte problem.</p></div>, <div class=""fr-view"">pad</div>]",0,0,0,1,0,0,0,0,0,0,0,0
Lost Generation,Papa Boulder > Hemingway Boulders > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106356194/lost-generation,2.6,-1,Boulder,V0-,1,15,34.02395,-116.17707,"[<div class=""fr-view""><p>Start from the arete and a jug and then make balancy moves up to gain a slanting flake near the top where a mantle caps off this fun problem.Â </p><p>Can be done from a sit start at about V0.</p><p>The downclimb is the easy crack on the backside.</p><p>* Listed in the Joshua Tree Bouldering Guide as #78, Unknown.</p></div>, <div class=""fr-view"">The northwest arete of the boulder.</div>, <div class=""fr-view"">pad, spotter</div>]",0,0,0,0,0,1,1,0,0,0,0,1
Big Lizard in my Backyard,Chuckawalla Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106067212/big-lizard-in-my-backyard,1.6,-1,Boulder,V-easy,1,10,34.02056,-116.16505,"[<div class=""fr-view"">This is the left most line on the Chuckawalla Boulder and is approximately 10' left of <a href=""https://www.mountainproject.com/route/105725470/chuckawalla"">Chuckawalla</a> (V1). <br/> <br/> This easier problem (5.8) climbs a prominent right-curving arete with jugs from a standing start (the sit start is about V1 or so). <br/> <br/> <ul><li> This problem isn't listed in the Joshua Tree bouldering guide (it does show this problem in the photo for the boulder) but it's an obvious line with good movement on solid patina holds making this another problem worthy of inclusion to a circuit of the area. </li></ul></div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,1,1,0,0,0,0,0
How's Your Mama?,Family Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105910582/hows-your-mama,3,-1,Boulder,V4,1,10,34.02065,-116.16221,"[<div class=""fr-view"">This problem starts a few feet over from the left arete on nasty crimps and polished feet, gaining the right slanting seam and following it until you can mantle over the top. Getting established on the face from the ground is a battle in itself. Taller people will find this easier than short folks.</div>, <div class=""fr-view"">Start 3' right of the left arete, at an obvious crimp, gaining the seam after a move.</div>, <div class=""fr-view"">Pad</div>]",0,0,1,0,0,1,0,0,0,0,0,1
Mr. Hyde,Voices Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/118115449/mr-hyde,2.5,-1,Boulder,V0-,1,10,34.02038,-116.16562,"[<div class=""fr-view"">Sit start at the sharp arete of Mr. H, then traverse right onto the right boulder and finish up Voices Arete. Â </div>]",1,0,0,0,1,1,0,0,0,0,0,0
Ripper,Trashcan Boulders > Trashcan Rock Area > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722806/ripper,2,-1,Boulder,V2,1,20,34.04026,-116.19707,"[<div class=""fr-view"">This problem is located on the front of Trashcan Rock (facing the road). <br/> <br/> It's the crack furthest to the left, a powerful move up to easy climbing. The descent is a little bit scary but worth doing the climb.</div>, <div class=""fr-view"">Pad, spotters</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Seven Grain Arete,Seven Grain Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106044902/seven-grain-arete,2.5,-1,Boulder,V1,1,10,33.98592,-116.15933,"[<div class=""fr-view"">This fun problem climbs the slanting and overhung northwest arete of the boulder and is much better than appearances might first suggest.  <br/> <br/> Sit start at an incut rail, get your feet set and then surf the arete left - sometimes using the lip of the arete and other times using holds further back - to a cool sequence below the lip and then polish it off with a classic mantle/rockover move onto the top.  <br/> <br/> Fun and athletic in nature, this is another great moderate problem of the area.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,1,0,0,0,0,0,1
Western Roll,Texas Boulder > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106073434/western-roll,2.5,-1,Boulder,V3,1,12,34.0181,-116.1698,"[<div class=""fr-view"">Start with a head-high side pull for your right hand.  Big feet.  Roll over and reach high left for an opposing sidepull.  Throw right and exit with a standard Josh mantel.</div>, <div class=""fr-view"">NE corner of Texas Boulder</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Xylophone,Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106115244/xylophone,2,-1,Boulder,V2,1,14,34.01431,-116.15814,"[<div class=""fr-view"">Gain the good sharp crimps, and via a high step and sidepull reach up to the sloping finishing holds. <br/> <br/> Good crimpy climbing for the grade.</div>, <div class=""fr-view"">Left of center</div>, <div class=""fr-view"">Pads</div>]",0,0,1,0,0,0,0,0,0,0,0,0
Pitch Two,Dino's Egg > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108567221/pitch-two,3,-1,Boulder,V5,1,,34.02051,-116.16504,"[<div class=""fr-view"">This problem is found above the sit down flake (V2) on the second tier of the Dino's Egg boulder.  <br/> <br/> Start with a good left sloper and an in-cut right hand using the positive rail on the underbelly (see picture).  Move to a sloper and head towards the jug above the lip, finishing with a not-a-gimme mantel (see picture).  Squamish style and a bit thuggy.</div>, <div class=""fr-view"">the dino's egg</div>, <div class=""fr-view"">one crash pad</div>]",0,0,0,1,0,0,1,0,0,0,0,0
Scorpion Roof Direct,Scorpion Roof > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106111480/scorpion-roof-direct,3,-1,Boulder,V5 R,1,20,34.1,-116.6,"[<div class=""fr-view"">Sit start as for <a href=""https://www.mountainproject.com/route/106111471/scorpion-traverse"">Scorpion Traverse</a>. <br/> <br/> Move out to the lip of the roof.   From the lip make a hard move to gain a poor sidepull for your left hand.    Bear down and reach up to the slopers at the horizontal break.   It takes power to keep hold of the slopers as you match and traverse right into the crack. <br/> <br/> Reach the crack and take a breather before finishing as for <a href=""https://www.mountainproject.com/route/106111471/scorpion-traverse"">Scorpion Traverse</a>. </div>, <div class=""fr-view"">Climbs the roof direct.</div>, <div class=""fr-view"">Pads and spotters</div>]",1,0,0,1,1,0,0,0,0,1,0,0
Palm-o-Granite,Black Lichen Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106329639/palm-o-granite,3.1,-1,Boulder,V7,1,15,33.98603,-116.15961,"[<div class=""fr-view"">This challenging and balancy problem climbs the rounded arete/corner right of <a href=""https://www.mountainproject.com/route/106039404/joker"">Joker</a> (V1) via creative body positioning as you work the rounded, sloping holds until near the top where you can rock over and finish onto the slab.  <br/> <br/> Due to the sloping nature of the holds this problem is best done when the temps are cool and your hands are in shape for pulling on the rough rock - caveat emptor!    <br/> <br/> Still cleaning up a little so don't be surprised if a little loose grit is present.</div>, <div class=""fr-view"">The rounded arete just right of <a href=""https://www.mountainproject.com/route/106039404/joker"">Joker</a> (V1).</div>, <div class=""fr-view"">Pad, spotter(s)</div>]",0,0,0,0,0,1,0,0,1,0,0,0
Hot and Juicy,Semi-Precious Boulder > Semi-Precious Bouldering > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106126580/hot-and-juicy,2.6,-1,Boulder,V-easy,1,17,34.01215,-116.16238,"[<div class=""fr-view"">This is the cool plated crack on the south east face. It's about 5.8. This can also be used for the descent.</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,0,0,0,0,0,0,0
[Redacted],The Hatrack > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114269622/redacted,2.6,-1,Boulder,V0,1,12,33.98928,-116.16353,"[<div class=""fr-view"">Start on right side pull and use the solid jug to the right of Porkpie. Â Transition out of this and move into the start of Porkpie. Â Finish as you would for Porkpie.</div>, <div class=""fr-view"">Just to the right of Porkpie.</div>, <div class=""fr-view"">Pad.</div>]",0,0,0,0,0,0,1,0,0,0,0,0
Block Problem,Trashcan Boulders > Trashcan Rock Area > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/107432627/block-problem,2.9,-1,Boulder,V0,1,16,34.04026,-116.19707,"[<div class=""fr-view"">On the main face, left of The Trough (5.0) and Karpkwitz (5.6) is a thin white dike cutting up a face. Pull onto really nice edges of the dike. Care is required topping out due to the height, but jugs abound.</div>, <div class=""fr-view"">Left of The Trough and Karpkwitz on the main West Wall of Trashcan rock. Across the way from the Forgotten Boulders proper.</div>, <div class=""fr-view"">A pad or not.</div>]",0,0,0,0,0,0,1,0,0,0,0,0
Hensel Face,Hensel Boulder > Scatterbrain Area > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106224140/hensel-face,1.9,-1,Boulder,V0,1,15,34.01824,-116.16346,"[<div class=""fr-view"">Located just right of <a href=""https://www.mountainproject.com/route/106224001/slabmaster"">Slabmaster</a> is this standardized friction test. A decent problem if in the area but the nearby <a href=""https://www.mountainproject.com/route/105722809/intersection-boulder-left"">Intersection Boulder, Left</a>  is a better problem if that sort of thing interests you.</div>, <div class=""fr-view"">Center of the East face (facing the road).</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Anti-hueco,False Hueco Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/109150886/anti-hueco,2.6,-1,Boulder,V4,1,10,34.01912,-116.16529,"[<div class=""fr-view"">An eliminate, but still quite fun.  Start Anti-Heuco, move directly up to edges, then use only the right side of upper hueco before a big move to the lip</div>, <div class=""fr-view"">same start as False Hueco, finish just right</div>, <div class=""fr-view"">Pad, spotter</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Sitting Bull Direct,Little Big Horn Boulder > Little Bighorn Area > Asteroid Belt Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/118571258/sitting-bull-direct,2.9,-1,Boulder,V3,1,12,34.01369,-116.15482,"[<div class=""fr-view"">Sit start underneath the boulder in the same place as for Sitting Bull. Instead of going left as for Sitting Bull, go right to a high sidepull, then up.Â </div>, <div class=""fr-view"">To the left of Little Bighorn. Start on the obvious cracked patina holds near the ground at the low roof.Â Â </div>]",0,0,0,0,0,0,0,0,0,1,0,0
Penny Pincher,JBMF Boulder > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105725455/penny-pincher,1.6,-1,Boulder,V0,1,12,34.0152,-116.16631,"[<div class=""fr-view""><p><span style=""background-color: transparent;"">Â Starting off a shelf of rock, climb edges up a smooth slab to a finishing jug.</span></p></div>, <div class=""fr-view""><p>West face of the boulder and just right of the Hensel Face.</p></div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,1,0,0,0,0,0
Lip Service,Trance Stone > Chunky Boulder and Trance Stone > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106114349/lip-service,2,-1,Boulder,V2,1,11,34.01846,-116.16897,"[<div class=""fr-view"">Same start as <a href=""https://www.mountainproject.com/route/106114353/trance"">Trance</a> (V7), but fire up and right to the rail and move right and up into the saddle. Flat landing. </div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Brown Sugar,Under Lizzy Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/112453963/brown-sugar,2.5,-1,Boulder,V1,1,13,34.01907,-116.16609,"[<div class=""fr-view"">Start as for problem B, move up and into a corner</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Twisted Sister,Campsite Grotto > HVCG South > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/120315809/twisted-sister,2.7,-1,Boulder,V2,1,10,34.01711,-116.16062,"[<div class=""fr-view""><p>Sit start at far end of the cave. Jam, crimp, squeeze, and invert your way up and out, then follow a low angle crack/slab to the top.</p><p>A few eliminate variations exist. If you don't use the right boulder face for your feet after existing the cave, it bumps it up to a V4.</p></div>, <div class=""fr-view""><p>Up the hill from <a href=""https://www.mountainproject.com/route/109937883/bittersweet"">Bittersweet </a>, in a little cave</p></div>]",0,0,1,0,0,0,0,0,1,0,0,0
Shanghai Noon,Gunsmoke Wall > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106104520/shanghai-noon,2.9,-1,Boulder,V6,1,15,34.02858,-116.14508,"[<div class=""fr-view"">Begin on low jugs somewhere left of High Noon on Gunsmoke Traverse. Make a dynamic move to the jug at the beginning of High Noon, then climb left on the rail and up the face above via edges; crux move is a throw to/pull from a sloper and is more difficult than High Noon. Not sure of ""exact"" location of start; can be done from the beginning of Gunsmoke, as can High Noon. Thinner top-out as well, if I remember correctly.</div>, <div class=""fr-view"">Same as for Gunsmoke and High Noon.</div>, <div class=""fr-view"">Crash pad; spotter to keep you away from yucca and/or rock in landing zone.</div>]",1,0,0,1,1,0,1,0,0,0,0,0
Sakura,Split Boulder > King Dome Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106419031/sakura,2.5,-1,Boulder,V2,1,12,34.00254,-116.14998,"[<div class=""fr-view""><p>SDS at a flake and then make balancy moves to get established on it before moving right onto the steep slab, working up rounded bumps to the top.Â </p><p>Cooler temps help on this problem as the handholds are quite sloping in nature.</p><p>Somewhat of an eliminate at the crux as you come very close to, but don't use, holds on <a href=""https://www.mountainproject.com/route/106120176/blurb"">Blurb</a>.</p></div>, <div class=""fr-view"">Center of the left boulder between <a href=""https://www.mountainproject.com/route/106419021/canasta"">Canasta</a> and <a href=""https://www.mountainproject.com/route/106120176/blurb"">Blurb</a>.</div>, <div class=""fr-view"">pad, spotter</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Black Pea,Black Pea Boulder > Triangle Two Boulders > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114124773/black-pea,3,-1,Boulder,V2,1,15,34.01773,-116.16418,"[<div class=""fr-view"">Climb the slab past the namesake â€œBlack Peaâ€ feature.</div>, <div class=""fr-view"">Adjacent to the Triangle Two Boulder.  Easy downclimb to the left.</div>, <div class=""fr-view"">Pad and spotter.</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Friction 101,Friction Slab > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106345826/friction-101,2.3,-1,Boulder,V1,1,11,34.02841,-116.14536,"[<div class=""fr-view"">Climb directly up the middle of the slab after a hard start.</div>, <div class=""fr-view"">On the boulder opposite <a href=""https://www.mountainproject.com/route/105724441/the-chube"">The Chube</a>.</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,0,0,0,0,0,0,0
The Embryo,Embryo Boulder > Embryo Area > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106069375/the-embryo,2.9,-1,Boulder,V4,1,12,34.08076,-116.246,"[<div class=""fr-view"">This problem is on the side facing away from the road. Move up a right diagonal rail to steming up a concave face. </div>, <div class=""fr-view"">Head, Hands and feet.</div>]",0,0,0,0,0,0,0,0,1,0,0,0
Up 20,Sandy Wash Corridor > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106096439/up-20,3,-1,Boulder,V2 R,1,20,33.98848,-116.16102,"[<div class=""fr-view"">A fun highball with a scary crux near the top. <br/> <br/> Start easily up the thin crack, and gain a good ledge below the widening crack.    <br/> <br/> Layback the crack for a scary sequence until possible to move into the wide top part of the crack.</div>, <div class=""fr-view"">This route lies on the South Face to the East of the wash.</div>, <div class=""fr-view"">Pads and spotters</div>]",0,0,0,0,0,0,0,0,0,0,0,0
The Real Slam Dunk,Halfling Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106649438/the-real-slam-dunk,3,-1,Boulder,V3,1,12,33.99792,-116.15341,"[<div class=""fr-view"">This run-and-jump problem kicks off a small edge and launches up for the distant but incut lip of the boulder above.</div>, <div class=""fr-view"">Right side of the north face.</div>, <div class=""fr-view"">pad, spotter</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Chuckawalla 'Yabo' Start,Chuckawalla Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116522112/chuckawalla-yabo-start,2.7,-1,Boulder,V6,1,10,34.02056,-116.16505,"[<div class=""fr-view"">Yabo sit start as you would for Little Chucky, but instead of moving out right, move left and straight up the boulder. Strenuous gaston move out to the left makes this more difficult if you're shorter.</div>, <div class=""fr-view"">Sit start as for Little Chucky.</div>, <div class=""fr-view"">1 Pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Native Arete SDS,Native Arete Boulder > Indian Wave Boulders > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106345895/native-arete-sds,2.8,-1,Boulder,V1,1,12,34.02648,-116.14181,"[<div class=""fr-view"">Extending an excellent problem to make an equally good problem and more sustained problem. <br/> <br/> Sit start facing left and climb the arete directly to join <a href=""https://www.mountainproject.com/route/106345888/native-arete"">Native Arete</a>.</div>, <div class=""fr-view"">SDS to <a href=""https://www.mountainproject.com/route/106345888/native-arete"">Native Arete</a>.</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Slash Babyface,Baby Face Boulder > Western Belt > Geology Tour Road Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/114149841/slash-babyface,2.7,-1,Boulder,V0,1,14,33.95997,-116.08043,"[<div class=""fr-view"">Start at the middle of the face, head up and right to the upper right arete of the boulder.</div>, <div class=""fr-view"">Right most climb</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Discount Dyno,Discount Dyno Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/107054245/discount-dyno,2.2,-1,Boulder,V0,1,10,34.01082,-116.16823,"[<div class=""fr-view""><p>Start matched on a juggy horizontal crack and dyno to the rounded top. The usual grainy mantle to finish.</p></div>, <div class=""fr-view""><p>Located on the east face of the boulder.</p></div>, <div class=""fr-view""><p>Pad</p></div>]",0,0,0,0,0,0,1,0,0,0,0,1
Flo,Mel's Diner Boulder > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116558561/flo,2.5,-1,Boulder,V0,1,13,34.0283,-116.18199,"[<div class=""fr-view"">Sidepulls up to rails and buckets.</div>, <div class=""fr-view"">Start on the left face of the boulder onÂ an arching crack.</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,0,0,0,0,0,0,0
The Simpleton,Simpleton Rock > King Dome Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106120193/the-simpleton,2.1,-1,Boulder,V1,1,15,34.0028,-116.14955,"[<div class=""fr-view"">Crank patina edges past a finger pod, then make a reach to gain a jug at the start of the crack system. Once established in the crack rail out right to finish and descend the backside.  <br/> <br/> Fun moves on quality rock are found on this problem which is somewhat technical for the grade.</div>, <div class=""fr-view"">Located on the south face of the boulder and identified as thin face leading into a right-slanting crack system. </div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,1,0,0,0,0,0
